Ticker,Price,Probability,Predicted_Return,Signal,Signal_Type,Paper_Status,Real_Order,Quantity,Position_Value
EKOS.IS,4.820000171661377,0.4712292352767553,0.005862817740814447,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,4.820000171661377
DGNMO.IS,7.139999866485596,0.4998644477647214,0.007052737821725221,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,7.139999866485596
MERCN.IS,16.920000076293945,0.5068464655515679,0.00723266314689089,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,16.920000076293945
GRTHO.IS,197.39999389648438,0.48358947954615567,0.006439914438937168,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,197.39999389648438
ALCTL.IS,116.0,0.4757551165226966,0.007032944448286513,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,116.0
YEOTK.IS,32.2400016784668,0.46687727127425094,0.005001367544343894,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,32.2400016784668
AHSGY.IS,14.229999542236328,0.4841084447723969,0.00912142077030253,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,14.229999542236328
AKSUE.IS,29.700000762939453,0.4723936295065738,0.00278744348292067,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,29.700000762939453
ULUSE.IS,228.6999969482422,0.5073641158093153,0.009282688254253853,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,228.6999969482422
LYDHO.IS,145.6999969482422,0.4856214545485911,0.007212094119096678,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,145.6999969482422
SEKFK.IS,4.429999828338623,0.4612083504789482,0.003606266137199576,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,4.429999828338623
BMSCH.IS,10.039999961853027,0.5093332571357889,0.009526990980950601,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,10.039999961853027
YUNSA.IS,7.360000133514404,0.5118369988478929,0.008452158815709102,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,7.360000133514404
BORLS.IS,3.3299999237060547,0.36557504318287015,-0.03428696212503122,SELL,AI_CURRENT,PAPER_ONLY,NO,1,3.3299999237060547
SAFKR.IS,14.449999809265137,0.46789225783871147,0.003548465869764673,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,14.449999809265137
CVKMD.IS,15.649999618530273,0.4019624091852735,0.002678808086321199,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,15.649999618530273
CWENE.IS,31.239999771118164,0.4897664016326927,0.008728672166497637,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,31.239999771118164
SOKE.IS,11.420000076293945,0.5138817283552061,0.011068142406813274,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,11.420000076293945
SMRTG.IS,8.539999961853027,0.490989076940153,0.0077043327127421825,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,8.539999961853027
BSOKE.IS,23.979999542236328,0.4926472943441712,0.006644483895019954,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,23.979999542236328
BRMEN.IS,12.319999694824219,0.4890692141487931,0.00857836543137716,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,12.319999694824219
